Running Reverse KL,Running Env Steps,Reward Loss,Running Forward KL,Real Det Return,Real Sto Return,Itration,Running Update Time
18.1315,0,-235.3396759033203,32.39,231.4,228.39,0,0
21.2877,5000,-121.60652160644531,29.3754,323.05,324.46,1,1
64.9165,10000,-560.6114501953125,30.5481,271.53,261.87,2,2
36.7085,15000,-441.2392272949219,29.6361,378.96,382.66,3,3
31.1044,20000,-585.3921508789062,29.6557,417.74,421.95,4,4
34.1833,25000,-586.4478759765625,29.693,418.84,417.88,5,5
20.9229,30000,-482.7945251464844,28.6969,492.83,432.83,6,6
35.1752,35000,-697.376220703125,26.8422,797.39,793.31,7,7
37.495,40000,-708.0399780273438,25.1417,1017.95,995.93,8,8
41.785,45000,-987.4635009765625,29.0061,285.5,383.1,9,9
23.0654,50000,-502.90533447265625,24.0651,1631.77,1089.19,10,10
30.1891,55000,-687.562255859375,26.3706,980.34,956.89,11,11
25.839,60000,-707.5929565429688,24.7433,1186.07,1126.01,12,12
25.4124,65000,-698.28759765625,25.6059,932.83,847.11,13,13
35.9726,70000,-811.0171508789062,26.2103,951.24,928.03,14,14
25.2107,75000,-746.836181640625,24.8427,999.89,976.57,15,15
21.1932,80000,-793.2088623046875,24.6908,958.98,949.84,16,16
26.7249,85000,-864.8164672851562,24.7463,906.56,926.78,17,17
37.6103,90000,-1130.8441162109375,24.8876,1014.02,968.97,18,18
17.2239,95000,-750.3096313476562,23.6659,925.91,1036.08,19,19
18.0169,100000,-859.3455810546875,24.7494,860.6,993.57,20,20
20.1383,105000,-920.5462646484375,22.4939,945.92,1048.64,21,21
15.8539,110000,-823.356689453125,23.8907,928.91,1113.2,22,22
19.6559,115000,-838.5864868164062,22.4329,1249.47,1233.28,23,23
20.0823,120000,-846.5342407226562,21.7022,1116.45,1870.58,24,24
15.6797,125000,-654.2327880859375,20.7465,990.13,2237.56,25,25
14.1322,130000,-558.5269165039062,21.2374,2893.65,2615.83,26,26
14.634,135000,-531.626953125,21.3654,3045.1,2787.37,27,27
12.1868,140000,-479.2779235839844,21.7516,2959.76,2198.71,28,28
15.4865,145000,-530.5398559570312,22.486,1006.42,2070.48,29,29
12.2424,150000,-327.7308044433594,20.8778,978.84,1822.1,30,30
11.1963,155000,-427.8311767578125,21.0483,1022.66,1859.14,31,31
11.2498,160000,-461.7501220703125,21.5956,1072.9,2326.91,32,32
11.5417,165000,-593.4810791015625,21.0098,1046.94,2069.66,33,33
13.5376,170000,-473.3335266113281,22.6502,1072.16,1555.45,34,34
11.7904,175000,-523.4912719726562,22.1567,1321.19,1848.39,35,35
10.5346,180000,-434.7855529785156,20.2449,1011.92,2367.72,36,36
11.6586,185000,-437.916259765625,21.8049,1959.8,2043.1,37,37
10.3844,190000,-444.3266296386719,19.985,2885.14,2483.48,38,38
10.0946,195000,-381.3367614746094,19.3205,1879.15,2191.49,39,39
11.2127,200000,-423.59033203125,19.9912,3210.76,2071.38,40,40
10.1055,205000,-448.97186279296875,19.0293,3189.88,3159.31,41,41
10.5779,210000,-386.05133056640625,19.3685,2747.41,3290.35,42,42
11.7087,215000,-466.5814514160156,20.6304,3440.39,1925.03,43,43
9.9262,220000,-417.60406494140625,18.9067,3078.76,3310.0,44,44
9.9421,225000,-424.26104736328125,18.8543,3127.27,3185.08,45,45
11.1953,230000,-473.770751953125,19.9579,3292.14,3142.95,46,46
11.0795,235000,-394.0096740722656,19.097,3419.95,3385.02,47,47
11.8856,240000,-488.831298828125,19.9428,3413.07,3353.33,48,48
9.8236,245000,-343.70257568359375,17.7499,3333.61,3342.17,49,49
9.4578,250000,-379.3733825683594,17.0071,3418.32,3405.99,50,50
10.8839,255000,-500.21710205078125,18.9032,3473.77,2906.74,51,51
10.0003,260000,-415.6972351074219,17.9113,3378.72,3390.75,52,52
10.4601,265000,-465.354248046875,19.6557,3487.57,3427.17,53,53
10.2472,270000,-471.6433410644531,18.6134,3468.66,3441.58,54,54
12.4923,275000,-736.4580688476562,20.0735,3550.29,2056.46,55,55
9.4998,280000,-448.8724365234375,17.6258,3481.3,3161.55,56,56
10.5775,285000,-570.5752563476562,19.306,3511.24,2626.56,57,57
9.2855,290000,-401.4705505371094,17.0851,3454.64,3469.1,58,58
23.9188,295000,-878.8042602539062,19.035,3528.49,2670.91,59,59
9.4213,300000,-481.6423034667969,17.417,2898.62,3379.62,60,60
9.333,305000,-498.4215087890625,18.1478,3517.22,3362.82,61,61
11.871,310000,-521.0799560546875,18.9303,3493.52,3467.48,62,62
10.1176,315000,-539.8018188476562,17.7746,3504.01,2900.39,63,63
11.2989,320000,-470.2955627441406,18.284,3493.07,3398.75,64,64
10.3722,325000,-489.40887451171875,17.7986,3470.84,3468.83,65,65
9.617,330000,-540.9686279296875,17.7709,3487.57,3157.55,66,66
10.5161,335000,-563.6268920898438,18.2321,3540.37,3183.53,67,67
11.4262,340000,-566.6820678710938,18.6811,3500.08,3457.36,68,68
10.0577,345000,-719.9200439453125,18.9827,3536.95,2815.5,69,69
10.3807,350000,-604.2764892578125,18.4394,3468.06,3498.33,70,70
10.0744,355000,-714.5615234375,18.7432,3555.79,3079.09,71,71
10.2243,360000,-541.1271362304688,17.8564,3499.38,3443.46,72,72
10.6919,365000,-904.3056030273438,18.8827,3489.12,2328.63,73,73
11.744,370000,-1034.3729248046875,19.8093,3513.65,2628.99,74,74
12.8694,375000,-783.6259155273438,18.7067,3495.77,3270.96,75,75
11.3945,380000,-727.8402709960938,18.5553,3562.7,3333.03,76,76
11.8639,385000,-675.2688598632812,17.7637,3445.05,3354.28,77,77
13.5685,390000,-950.4096069335938,18.8446,3519.77,2275.0,78,78
11.352,395000,-775.9033813476562,18.7791,3499.35,3370.93,79,79
9.8417,400000,-740.9384155273438,17.6062,3453.58,3178.68,80,80
9.9552,405000,-803.8706665039062,18.068,3509.47,3202.36,81,81
13.3109,410000,-1276.2821044921875,20.5869,3201.66,1948.68,82,82
9.8374,415000,-724.2719116210938,17.6212,3524.15,3417.74,83,83
10.5968,420000,-851.4092407226562,18.0594,3528.88,3511.79,84,84
9.8997,425000,-949.0662231445312,18.2615,3510.03,2690.36,85,85
10.4358,430000,-1125.0657958984375,19.3245,3541.83,2380.69,86,86
10.6322,435000,-887.9963989257812,18.4162,3533.28,3377.87,87,87
9.6953,440000,-903.3358764648438,18.2026,3550.54,3474.52,88,88
11.04,445000,-974.415771484375,18.5145,3533.42,3514.47,89,89
10.7402,450000,-1117.830810546875,19.1765,3526.22,2498.6,90,90
10.1304,455000,-1000.363037109375,18.0627,3517.43,3483.49,91,91
13.1914,460000,-1401.183837890625,20.1757,3498.48,1794.93,92,92
12.0057,465000,-1480.9495849609375,19.6358,3525.59,2160.46,93,93
11.3427,470000,-1269.8211669921875,18.9737,3508.8,2850.4,94,94
10.0823,475000,-1018.6286010742188,18.4363,3519.35,3485.29,95,95
13.2615,480000,-1528.4219970703125,19.9828,3496.63,2479.8,96,96
10.1979,485000,-1104.900146484375,18.3502,3525.17,3234.81,97,97
10.1186,490000,-1190.8052978515625,18.4822,3554.72,3005.86,98,98
10.952,495000,-1192.8299560546875,19.0246,3547.4,3198.9,99,99
10.399,500000,-1245.765625,18.6725,3494.53,3275.49,100,100
10.5971,505000,-1161.874267578125,18.5118,3523.75,3389.41,101,101
12.1857,510000,-1386.2091064453125,19.1762,3517.14,2973.54,102,102
11.1761,515000,-1252.804931640625,18.5774,3528.61,2724.83,103,103
10.8271,520000,-1345.7652587890625,18.9554,3562.66,2922.36,104,104
11.9676,525000,-1178.653076171875,18.9298,3521.93,3499.22,105,105
10.5506,530000,-1249.238037109375,18.6152,3536.87,3128.84,106,106
14.2771,535000,-1574.677734375,19.4388,3490.74,2198.86,107,107
10.6554,540000,-1249.9803466796875,18.4497,3516.68,3207.26,108,108
11.3886,545000,-1301.0849609375,19.1092,3523.09,3216.85,109,109
13.5043,550000,-1613.4615478515625,20.1863,3568.06,2375.42,110,110
10.3471,555000,-1201.229736328125,18.3236,3514.13,3414.62,111,111
12.8732,560000,-1563.7996826171875,20.3485,3545.04,2544.45,112,112
12.7556,565000,-1828.55322265625,20.4027,3491.96,2202.54,113,113
10.5195,570000,-1364.622802734375,18.6173,3539.94,3430.29,114,114
12.2651,575000,-1644.0347900390625,19.5171,3515.82,2703.04,115,115
10.2655,580000,-1354.855224609375,18.2186,3549.21,3515.66,116,116
10.578,585000,-1355.5760498046875,18.2646,3556.7,3527.72,117,117
10.1232,590000,-1319.800537109375,17.9202,3588.28,3558.2,118,118
11.0862,595000,-1607.198974609375,18.982,3563.4,3509.25,119,119
10.8818,600000,-1521.7308349609375,18.6183,3558.58,3527.65,120,120
10.5964,605000,-1426.1435546875,18.7108,3520.01,2731.39,121,121
10.4647,610000,-1496.5050048828125,18.5016,3531.48,3359.46,122,122
10.3025,615000,-1482.395263671875,18.2018,3519.77,3414.97,123,123
10.2202,620000,-1436.2149658203125,18.1527,3515.48,3495.9,124,124
10.9163,625000,-1756.960693359375,18.8762,3546.77,3150.52,125,125
10.6735,630000,-1613.4930419921875,18.8119,3567.74,3548.49,126,126
9.6917,635000,-1483.881591796875,17.8928,3512.61,3451.09,127,127
9.8215,640000,-1458.052001953125,17.7783,3532.45,3470.66,128,128
10.9561,645000,-1694.56591796875,18.6782,3535.0,3489.45,129,129
10.3972,650000,-1649.2305908203125,18.1549,3502.62,3337.57,130,130
10.4014,655000,-1824.71923828125,18.8444,3495.24,2970.78,131,131
10.91,660000,-1682.3697509765625,18.5972,3535.65,3205.19,132,132
10.8289,665000,-1729.409423828125,18.8934,3535.41,3480.91,133,133
10.9497,670000,-1807.2801513671875,18.9009,3545.12,3472.88,134,134
10.9475,675000,-1644.677490234375,18.6279,3515.42,3427.73,135,135
10.8537,680000,-1816.997802734375,18.5979,3548.49,3450.78,136,136
10.6879,685000,-2067.351806640625,19.5409,3541.23,2917.03,137,137
10.7603,690000,-1801.00439453125,18.5485,3539.15,3480.25,138,138
11.2676,695000,-2163.6943359375,19.3772,3541.16,3117.54,139,139
10.8857,700000,-1778.404541015625,18.0205,3562.92,3485.5,140,140
10.8541,705000,-2024.9866943359375,18.7294,3558.46,3283.29,141,141
11.2683,710000,-2119.60791015625,19.1904,3532.8,3391.53,142,142
10.4529,715000,-1937.34716796875,18.2499,3576.43,3510.16,143,143
10.428,720000,-1770.8656005859375,17.5116,3521.44,3484.54,144,144
10.6249,725000,-2365.292236328125,19.6884,3561.13,2546.35,145,145
11.0679,730000,-2053.521728515625,18.7148,3554.07,3049.73,146,146
10.911,735000,-2002.83251953125,18.8828,3564.81,3129.01,147,147
10.6938,740000,-2114.443603515625,18.4757,3540.2,3453.78,148,148
11.2239,745000,-2232.907470703125,19.631,3585.81,3439.78,149,149
10.9808,750000,-2213.9853515625,19.1789,3536.49,2961.15,150,150
11.7764,755000,-2350.896728515625,19.0201,3563.93,2964.12,151,151
10.7917,760000,-2184.8505859375,18.1916,3608.47,3557.93,152,152
11.0234,765000,-2664.367919921875,19.9228,3532.29,2478.29,153,153
10.5726,770000,-2231.414794921875,19.0654,3527.95,2857.42,154,154
10.9596,775000,-2145.4326171875,18.1561,3570.28,3490.94,155,155
11.3391,780000,-2855.580322265625,20.0871,3538.84,1762.99,156,156
10.6455,785000,-2345.33984375,18.691,3586.52,3460.27,157,157
11.0194,790000,-2391.40771484375,18.5881,3552.15,3216.92,158,158
11.0396,795000,-2323.922119140625,18.0546,3569.35,3511.18,159,159
10.8556,800000,-2429.249267578125,18.2596,3586.15,3390.59,160,160
11.4723,805000,-2544.574951171875,18.8831,3534.92,3487.14,161,161
9.9905,810000,-2122.47900390625,17.8301,3561.77,3516.61,162,162
10.766,815000,-2330.304931640625,18.166,3581.8,3534.54,163,163
10.8626,820000,-2691.853271484375,19.1993,3542.88,2414.23,164,164
11.6487,825000,-2587.717041015625,19.555,3593.81,2875.96,165,165
11.1468,830000,-2405.446044921875,18.3383,3561.77,3532.51,166,166
10.617,835000,-2334.726806640625,18.043,3566.16,3500.65,167,167
10.705,840000,-2467.302734375,18.3621,3567.86,3509.96,168,168
10.6441,845000,-2644.453369140625,19.4674,3578.09,2976.47,169,169
11.0356,850000,-2433.59814453125,18.7225,3550.55,3464.08,170,170
10.2491,855000,-2570.8154296875,18.5021,3557.45,3335.0,171,171
10.7948,860000,-2559.9716796875,18.3307,3593.21,3541.19,172,172
10.5968,865000,-2672.56982421875,18.4108,3571.21,3430.34,173,173
10.9433,870000,-2496.270751953125,18.0969,3574.36,3461.61,174,174
10.7743,875000,-2450.08251953125,18.8776,3510.02,3399.24,175,175
11.5762,880000,-2727.068359375,18.8855,3657.74,3613.15,176,176
11.2072,885000,-2738.233642578125,18.4165,3614.67,3471.57,177,177
10.3185,890000,-2598.249267578125,17.7801,3596.47,3558.34,178,178
10.2985,895000,-2632.12060546875,17.8585,3574.29,3523.94,179,179
11.2112,900000,-2894.706787109375,18.8553,3655.39,3502.76,180,180
10.7098,905000,-2735.16796875,18.1933,3617.29,3560.28,181,181
10.8146,910000,-2685.67529296875,18.1267,3608.03,3549.78,182,182
10.3867,915000,-2853.93994140625,18.5161,3608.04,3510.39,183,183
10.5928,920000,-2797.2734375,18.6106,3540.41,2684.77,184,184
10.5786,925000,-2818.804931640625,18.2603,3564.58,3479.7,185,185
10.3727,930000,-2694.19189453125,17.7678,3590.19,3534.51,186,186
11.2125,935000,-3197.259765625,18.866,3603.35,3495.05,187,187
10.5696,940000,-3237.260986328125,18.7802,3568.07,3319.23,188,188
11.1867,945000,-3049.908203125,18.6163,3600.5,3555.33,189,189
10.6601,950000,-3528.714599609375,18.8452,3569.11,2882.43,190,190
10.8265,955000,-3077.071533203125,18.3686,3574.92,3437.42,191,191
11.2602,960000,-3367.8896484375,19.3141,3600.94,3018.03,192,192
10.8551,965000,-3266.318115234375,18.563,3568.2,3457.45,193,193
10.4825,970000,-2992.989990234375,18.5223,3554.87,3472.69,194,194
10.414,975000,-3133.379638671875,18.0841,3550.53,3420.85,195,195
10.6356,980000,-3051.848388671875,18.3794,3590.78,3021.92,196,196
10.3119,985000,-3120.392822265625,18.1113,3564.07,3459.41,197,197
10.6423,990000,-3282.323974609375,18.7367,3574.64,3105.37,198,198
10.7964,995000,-3093.46923828125,18.3301,3567.71,3518.72,199,199
