Running Forward KL,Real Sto Return,Real Det Return,Itration,Running Env Steps,Running Update Time,Reward Loss,Running Reverse KL
466.4444,291.51,252.5,0,0,0,-5574.24267578125,266.9297
437.4012,332.49,314.13,1,5000,1,-4748.908203125,274.8827
417.6038,367.84,324.46,2,10000,2,-5150.61767578125,299.4404
428.9707,398.66,548.34,3,15000,3,-5084.90380859375,267.7831
421.6529,431.07,467.86,4,20000,4,-5461.0029296875,250.7809
423.8417,461.46,490.56,5,25000,5,-5640.6943359375,277.2403
415.5189,385.57,400.76,6,30000,6,-5644.251953125,273.697
421.8284,383.08,390.07,7,35000,7,-5695.19140625,268.7316
412.5545,451.48,415.14,8,40000,8,-5427.74658203125,265.0372
410.3483,488.02,444.66,9,45000,9,-5820.02392578125,275.5124
424.0476,409.26,386.56,10,50000,10,-6916.43701171875,284.8755
416.6054,470.43,459.28,11,55000,11,-6427.79345703125,284.413
399.9235,538.94,760.64,12,60000,12,-6999.3447265625,257.9386
404.7933,501.58,492.33,13,65000,13,-7190.9765625,284.8753
413.5872,549.48,470.95,14,70000,14,-7358.93994140625,261.9264
399.9156,563.4,614.72,15,75000,15,-7464.650390625,269.0512
402.4911,602.41,676.19,16,80000,16,-7744.90869140625,255.5265
389.5372,543.09,642.7,17,85000,17,-7799.037109375,242.1795
407.6696,631.39,755.9,18,90000,18,-8424.55859375,286.5341
395.0484,640.43,741.9,19,95000,19,-8445.666015625,273.197
398.8963,585.18,585.61,20,100000,20,-8603.61328125,284.9509
414.19,701.69,791.92,21,105000,21,-8551.3818359375,271.5766
391.0399,661.45,831.7,22,110000,22,-8335.80859375,263.7371
390.3255,658.05,709.52,23,115000,23,-8815.30078125,240.2859
394.9917,621.18,623.36,24,120000,24,-9203.0712890625,244.4806
378.5547,740.55,796.08,25,125000,25,-8874.9541015625,235.5499
381.8305,834.92,964.85,26,130000,26,-8891.6220703125,216.5177
376.1729,833.54,982.92,27,135000,27,-9225.1357421875,237.0361
364.556,805.69,915.13,28,140000,28,-9268.7822265625,231.2255
372.1431,834.73,1066.97,29,145000,29,-9234.1982421875,239.475
371.2677,730.77,534.07,30,150000,30,-9428.9755859375,230.9622
341.4261,1145.31,962.69,31,155000,31,-8589.6875,196.4079
354.5986,1119.64,940.42,32,160000,32,-8599.1318359375,211.8587
338.8853,1630.82,1610.35,33,165000,33,-6959.45166015625,189.3463
347.9453,1633.53,1713.49,34,170000,34,-7818.31591796875,189.3826
354.8593,1317.81,1396.38,35,175000,35,-9239.287109375,217.856
379.6516,1179.66,1694.21,36,180000,36,-9375.3046875,241.9394
370.1519,1312.47,2342.49,37,185000,37,-8726.10546875,223.3836
336.4399,1885.08,1986.87,38,190000,38,-6508.76904296875,160.6846
384.5988,1053.23,938.41,39,195000,39,-9957.3349609375,263.0298
351.9672,1711.89,1928.65,40,200000,40,-8362.9833984375,194.348
346.204,1942.33,1579.98,41,205000,41,-8118.931640625,184.6357
312.8916,2316.76,2644.43,42,210000,42,-5867.626953125,141.6082
311.8443,2817.45,4766.08,43,215000,43,-4619.41455078125,122.915
343.5034,1717.8,2632.74,44,220000,44,-8508.5615234375,195.8479
342.8044,1999.71,3461.21,45,225000,45,-7517.0888671875,173.9786
341.7395,2111.89,3144.82,46,230000,46,-8172.15234375,221.445
336.4723,1720.8,2900.26,47,235000,47,-8568.2958984375,202.3925
363.2737,1294.16,2006.4,48,240000,48,-10136.115234375,248.0871
334.8815,1818.51,1150.22,49,245000,49,-8385.080078125,178.6103
351.7673,1594.77,1695.88,50,250000,50,-9284.19921875,202.6945
323.8492,2591.09,2370.77,51,255000,51,-6699.9794921875,145.4453
316.9715,2960.48,2132.84,52,260000,52,-5607.3330078125,150.3492
321.0918,4018.55,3581.97,53,265000,53,-5074.69677734375,134.9784
331.2131,2598.99,3480.1,54,270000,54,-7589.63134765625,171.5967
325.604,2513.37,2884.38,55,275000,55,-9379.5673828125,197.9528
323.2622,2331.47,3147.53,56,280000,56,-6290.2822265625,149.5847
326.9717,2711.52,3245.75,57,285000,57,-8417.619140625,172.5482
323.4235,2824.22,3774.2,58,290000,58,-8315.212890625,167.6377
329.071,2978.14,2599.48,59,295000,59,-8398.123046875,170.6544
303.7253,2999.47,3598.89,60,300000,60,-4559.76953125,120.968
316.3836,3320.65,4471.64,61,305000,61,-4011.74072265625,117.8127
325.0509,2400.04,3360.36,62,310000,62,-9612.6318359375,196.8523
306.5653,3716.2,3425.68,63,315000,63,-4259.05908203125,119.7931
308.0499,3703.62,4947.15,64,320000,64,-3908.815185546875,119.0343
311.0294,4307.95,4942.44,65,325000,65,-4173.7431640625,122.2185
302.9227,4421.57,4881.15,66,330000,66,-2829.990478515625,98.4446
317.0792,3538.14,4784.07,67,335000,67,-4889.5380859375,125.3356
304.818,3144.74,4333.76,68,340000,68,-5349.0,127.2255
316.0042,3993.65,4327.29,69,345000,69,-6098.71337890625,132.3446
306.5837,4077.78,3908.07,70,350000,70,-6594.9765625,136.5018
313.0758,4083.4,4933.97,71,355000,71,-6421.1875,139.1134
306.774,4484.54,5011.88,72,360000,72,-4898.44482421875,128.969
309.7652,3293.88,3200.53,73,365000,73,-5103.81689453125,119.6009
311.9274,4472.05,4910.06,74,370000,74,-5683.93994140625,137.0612
294.6241,4339.46,3970.8,75,375000,75,-2883.81005859375,90.8365
302.3786,4254.91,4422.69,76,380000,76,-4425.0341796875,117.9938
310.4959,3270.2,2494.46,77,385000,77,-7669.56103515625,143.9067
307.7223,3260.57,1765.63,78,390000,78,-7057.0859375,128.9072
300.5666,3831.48,3510.17,79,395000,79,-4925.27587890625,116.421
299.5387,4873.48,4877.45,80,400000,80,-3400.77197265625,103.0304
300.9573,4970.54,4745.69,81,405000,81,-3920.492431640625,106.5542
309.1931,3713.43,3695.88,82,410000,82,-7560.52294921875,149.7291
310.7872,4279.43,3983.52,83,415000,83,-5485.2158203125,122.3669
299.8439,4291.19,4864.97,84,420000,84,-5505.3330078125,109.3111
303.5546,4446.58,5016.99,85,425000,85,-5831.5869140625,116.8627
305.7109,4289.78,3743.2,86,430000,86,-7233.3564453125,127.1116
310.2811,4689.29,4359.16,87,435000,87,-6710.27197265625,132.7817
309.1166,4589.74,4700.93,88,440000,88,-5668.60693359375,122.3279
296.3242,4834.62,5041.61,89,445000,89,-4378.85595703125,94.6556
295.0304,4355.98,5026.28,90,450000,90,-4999.61572265625,100.1584
292.1493,4851.16,4748.46,91,455000,91,-5660.42578125,98.094
294.0963,5000.9,5042.25,92,460000,92,-5014.9580078125,96.5796
286.358,4993.42,4112.5,93,465000,93,-5034.6171875,87.099
299.9302,4917.27,4385.25,94,470000,94,-5607.251953125,114.4688
288.4419,4959.32,4142.57,95,475000,95,-5501.134765625,95.4245
323.539,4676.03,4364.67,96,480000,96,-6779.47705078125,149.3875
289.7543,4777.14,4183.1,97,485000,97,-5827.76171875,101.5384
318.9269,4556.56,4263.04,98,490000,98,-7570.9619140625,152.2996
302.4522,4147.73,4538.05,99,495000,99,-7974.6015625,126.4938
307.6256,3912.8,4743.22,100,500000,100,-7242.369140625,115.0985
296.8646,4717.09,4763.82,101,505000,101,-7007.1328125,110.5046
289.9646,4485.08,4947.9,102,510000,102,-5659.826171875,94.8552
309.256,4653.79,4406.52,103,515000,103,-6799.02734375,119.0154
295.5486,4935.96,4413.33,104,520000,104,-6252.87939453125,93.0101
289.5745,4533.42,4019.76,105,525000,105,-6857.77490234375,96.4714
311.5652,4777.68,4508.32,106,530000,106,-7770.24853515625,127.4178
299.3999,4720.47,4934.59,107,535000,107,-6939.6708984375,108.2095
299.9072,4481.6,4335.67,108,540000,108,-7767.02880859375,120.8846
285.6556,4596.44,2982.72,109,545000,109,-6565.66357421875,89.8579
302.1421,4750.84,4688.63,110,550000,110,-7531.126953125,105.6643
292.3929,4717.35,4188.23,111,555000,111,-7983.919921875,101.977
296.0042,4593.45,4767.1,112,560000,112,-7305.794921875,119.066
290.0694,4823.92,4297.5,113,565000,113,-7709.88818359375,95.2046
292.1093,4914.68,4782.48,114,570000,114,-8159.52099609375,105.8693
274.2264,4990.6,4593.58,115,575000,115,-6782.9970703125,79.6034
282.0922,4949.31,3931.33,116,580000,116,-7261.38720703125,80.8929
275.2403,4998.68,4201.38,117,585000,117,-7289.8779296875,78.7389
272.1334,4927.97,986.75,118,590000,118,-6818.849609375,80.728
274.1362,4985.77,4764.46,119,595000,119,-7179.38330078125,81.3448
280.2125,5020.46,4603.81,120,600000,120,-7950.08544921875,93.0989
281.101,4887.05,3923.35,121,605000,121,-7722.68798828125,89.9283
281.4835,4893.61,3858.4,122,610000,122,-7731.638671875,88.8373
307.6317,4675.89,4076.84,123,615000,123,-9662.28125,134.4987
288.6611,4730.03,3330.52,124,620000,124,-8696.953125,119.3423
285.9681,4499.15,3600.6,125,625000,125,-7970.55126953125,103.7461
262.4229,4967.46,4037.54,126,630000,126,-7334.8466796875,72.4366
283.5207,4908.41,4901.4,127,635000,127,-8634.1845703125,101.8589
263.7992,4759.08,3279.97,128,640000,128,-6665.41650390625,64.8899
273.3925,5027.43,4919.11,129,645000,129,-8315.4501953125,81.3061
266.3111,5027.94,3597.58,130,650000,130,-7073.59814453125,70.7818
273.2114,5006.66,4593.67,131,655000,131,-8007.8076171875,78.63
272.3879,4015.66,4360.51,132,660000,132,-8278.177734375,88.4122
271.1425,4945.26,4893.9,133,665000,133,-7981.45947265625,75.929
270.9412,4930.4,4592.04,134,670000,134,-8784.357421875,88.0061
275.6009,4058.73,3848.26,135,675000,135,-7697.74072265625,98.6428
260.2921,4819.68,2453.69,136,680000,136,-6685.525390625,64.5698
273.1615,4942.05,4384.53,137,685000,137,-8698.171875,91.7552
273.6241,4685.37,4177.01,138,690000,138,-8738.0380859375,86.1082
279.4282,3912.17,3936.78,139,695000,139,-9792.16796875,109.008
262.8794,5080.77,5130.98,140,700000,140,-8341.2509765625,79.2892
