Running Forward KL,Real Det Return,Real Sto Return,Reward Loss,Running Env Steps,Itration,Running Update Time,Running Reverse KL
469.3505,167.69,286.3,-2470.35595703125,0,0,0,311.27
460.4795,247.78,272.91,-1849.8765869140625,5000,1,1,278.7494
471.7217,287.59,304.21,-2739.878662109375,10000,2,2,284.2128
422.193,458.13,459.77,-1953.9881591796875,15000,3,3,265.3971
424.637,505.3,465.12,-1990.429931640625,20000,4,4,265.3953
420.222,394.18,441.07,-2463.997314453125,25000,5,5,262.7885
418.0195,426.19,446.01,-2368.848388671875,30000,6,6,263.3508
409.7784,417.03,496.81,-3213.14013671875,35000,7,7,255.4605
417.0213,467.0,460.64,-1926.0933837890625,40000,8,8,272.4941
403.0951,421.16,422.19,-3312.19384765625,45000,9,9,248.2922
394.6503,391.91,447.48,-3381.4423828125,50000,10,10,244.3877
387.8666,465.85,448.54,-3964.936767578125,55000,11,11,245.1597
390.6478,423.61,517.73,-3482.854248046875,60000,12,12,240.7686
403.5021,509.8,556.87,-4329.36865234375,65000,13,13,256.8405
392.4537,508.01,526.55,-4519.08447265625,70000,14,14,238.766
380.4374,484.48,517.36,-4537.62646484375,75000,15,15,246.5403
380.4234,460.31,489.35,-5079.84912109375,80000,16,16,231.981
381.5707,453.35,501.62,-5435.37451171875,85000,17,17,272.159
375.9955,527.6,556.38,-5415.087890625,90000,18,18,227.1737
365.6249,473.96,531.18,-5539.13134765625,95000,19,19,244.5532
370.4584,587.68,610.79,-5127.6396484375,100000,20,20,228.7718
361.1369,538.82,692.72,-5294.845703125,105000,21,21,226.403
375.3472,586.81,579.01,-5999.61767578125,110000,22,22,231.079
383.8431,466.08,549.12,-5272.0341796875,115000,23,23,252.8469
359.1001,526.01,678.21,-6277.7138671875,120000,24,24,232.2822
352.4125,533.43,778.91,-6320.80810546875,125000,25,25,222.7301
356.6317,481.93,646.8,-7416.515625,130000,26,26,246.4099
357.6657,573.92,633.43,-7104.224609375,135000,27,27,232.585
364.4762,556.65,691.18,-7240.046875,140000,28,28,233.9453
358.7028,560.54,667.48,-7643.62255859375,145000,29,29,231.5327
356.8799,575.36,774.47,-7396.623046875,150000,30,30,222.24
349.0197,655.96,728.67,-8139.71533203125,155000,31,31,226.1503
350.6443,529.83,658.32,-7951.3740234375,160000,32,32,219.2741
366.0853,602.49,701.43,-8899.8720703125,165000,33,33,218.2455
355.5714,701.28,684.0,-8311.705078125,170000,34,34,212.3222
358.6876,686.17,721.45,-8974.130859375,175000,35,35,228.9133
358.4675,700.67,807.7,-9129.2626953125,180000,36,36,221.451
347.7055,689.15,828.95,-9114.8212890625,185000,37,37,224.2413
347.5128,801.0,982.95,-8558.025390625,190000,38,38,219.0629
327.1155,987.73,916.21,-7985.9423828125,195000,39,39,195.7365
326.1388,656.79,753.32,-8913.00390625,200000,40,40,215.019
345.0856,766.61,770.42,-9284.1181640625,205000,41,41,226.82
337.2243,702.19,1079.83,-9637.677734375,210000,42,42,245.1332
334.1228,840.86,1090.0,-9744.0029296875,215000,43,43,238.2289
342.0093,633.99,1022.31,-9954.46875,220000,44,44,261.5062
318.8595,870.24,1316.58,-7953.85009765625,225000,45,45,199.0893
332.7782,630.97,1181.79,-10163.0654296875,230000,46,46,230.001
313.6308,968.4,2644.23,-7269.37744140625,235000,47,47,176.734
318.0291,677.57,2116.39,-8581.5712890625,240000,48,48,192.3907
313.8966,818.76,2623.15,-7256.0791015625,245000,49,49,183.2753
293.7609,825.81,2674.69,-3292.9228515625,250000,50,50,119.9172
312.9314,840.87,2122.51,-6904.7607421875,255000,51,51,162.3366
324.2032,743.11,2054.79,-8585.361328125,260000,52,52,196.1888
315.0528,1621.92,1947.86,-7309.55419921875,265000,53,53,180.2946
312.0169,946.33,1891.4,-7183.53662109375,270000,54,54,171.9793
315.8881,872.43,1306.07,-9056.3359375,275000,55,55,196.5364
325.4813,682.14,2405.83,-8681.501953125,280000,56,56,206.0802
323.5219,862.9,2038.39,-9927.2294921875,285000,57,57,216.5079
315.9743,2135.54,3083.44,-7380.21875,290000,58,58,177.6949
311.5592,1743.43,1922.78,-7116.11767578125,295000,59,59,156.429
319.4329,1373.8,2279.66,-9448.2158203125,300000,60,60,202.4258
302.5037,1329.35,3628.73,-8718.076171875,305000,61,61,202.406
282.3981,3429.68,3849.14,-3223.034423828125,310000,62,62,100.8728
313.1582,1715.53,2946.11,-7532.27978515625,315000,63,63,179.7212
295.6266,3296.05,3925.76,-4824.037109375,320000,64,64,141.9749
300.4593,1790.33,4182.35,-6696.32080078125,325000,65,65,159.8822
319.6721,1281.75,3083.63,-11168.3056640625,330000,66,66,231.8858
312.0146,967.58,1487.36,-10014.0927734375,335000,67,67,199.7183
318.2753,1891.48,2771.97,-7792.232421875,340000,68,68,169.9242
300.3254,989.37,2956.75,-7336.68359375,345000,69,69,160.4917
300.9523,1052.93,2963.84,-6547.06103515625,350000,70,70,142.0019
308.3653,1045.27,1565.24,-8822.8955078125,355000,71,71,158.4749
311.4274,2115.54,2012.92,-9360.263671875,360000,72,72,199.4617
306.6832,1107.0,3226.05,-8295.7275390625,365000,73,73,176.9022
298.9346,1533.13,2671.93,-8889.1181640625,370000,74,74,170.0873
281.9284,1543.48,4045.95,-4040.373291015625,375000,75,75,107.0227
305.3821,1631.15,3409.02,-7596.49658203125,380000,76,76,173.6523
307.6305,1055.68,2331.35,-9207.748046875,385000,77,77,160.9624
298.9563,1314.47,3318.98,-5634.2314453125,390000,78,78,115.6025
290.1801,1193.35,3099.35,-6204.92578125,395000,79,79,118.164
292.3629,1586.37,3588.72,-6693.39599609375,400000,80,80,121.2471
302.0859,1798.68,3197.05,-7260.60498046875,405000,81,81,139.2741
288.9337,1528.83,4162.1,-6614.19580078125,410000,82,82,138.8931
304.0085,1711.95,3437.56,-7053.4853515625,415000,83,83,137.9616
314.6793,1130.09,2583.27,-10193.8857421875,420000,84,84,174.6936
298.2916,1177.33,2843.25,-6800.2734375,425000,85,85,122.7709
311.043,1479.92,2707.94,-9957.27734375,430000,86,86,172.5087
300.6646,930.26,2505.12,-8765.927734375,435000,87,87,143.1388
302.6387,1802.28,3239.79,-8264.4287109375,440000,88,88,146.5039
302.1618,2260.5,3803.75,-9187.3291015625,445000,89,89,165.3744
298.8202,2172.08,3568.43,-6582.6328125,450000,90,90,119.0957
300.4459,2781.76,4469.05,-7406.62060546875,455000,91,91,125.404
297.0583,1755.52,3907.22,-6640.599609375,460000,92,92,110.9766
296.9387,1262.47,4198.71,-7592.7255859375,465000,93,93,129.3338
310.635,2084.92,3175.93,-8647.9814453125,470000,94,94,144.8557
304.6745,1537.98,3393.75,-9661.8681640625,475000,95,95,160.6428
296.6964,2388.67,4109.71,-6453.654296875,480000,96,96,106.7712
290.1577,2754.3,4730.45,-4998.40283203125,485000,97,97,96.5418
309.6363,2146.94,2086.4,-10841.0546875,490000,98,98,207.1484
293.8188,1026.37,4709.03,-7559.69091796875,495000,99,99,113.6452
295.5336,2231.07,4170.73,-6665.15771484375,500000,100,100,104.18
298.255,1262.69,3512.64,-9100.591796875,505000,101,101,133.5967
295.876,2639.46,4408.85,-8861.5947265625,510000,102,102,128.2133
292.9181,3605.04,4735.33,-6911.44775390625,515000,103,103,109.4231
283.6894,4091.72,4789.63,-7184.47509765625,520000,104,104,96.2065
297.4062,3502.58,4372.99,-8320.8251953125,525000,105,105,118.2513
294.2725,4765.41,4677.89,-8771.2333984375,530000,106,106,120.8095
293.3438,2690.24,4630.04,-7838.59814453125,535000,107,107,102.1709
293.0446,1430.64,4986.69,-7370.96484375,540000,108,108,99.6876
300.6015,1682.57,4447.23,-9001.05859375,545000,109,109,123.3395
303.266,4144.38,3479.46,-8962.01171875,550000,110,110,129.1476
287.2736,2060.51,4805.69,-8456.880859375,555000,111,111,109.1454
288.9346,3240.88,4910.93,-8880.8935546875,560000,112,112,114.5318
296.4238,3309.5,4537.21,-9037.6689453125,565000,113,113,115.682
288.4861,3917.31,4799.54,-8508.1748046875,570000,114,114,94.9123
294.9411,3274.31,4953.96,-8935.271484375,575000,115,115,108.452
286.8186,3929.92,4485.35,-9276.0029296875,580000,116,116,100.4901
289.0969,2518.5,4963.68,-9039.1015625,585000,117,117,97.3419
293.5916,4139.07,4531.67,-9697.560546875,590000,118,118,110.852
293.1453,3029.04,4683.76,-10112.4130859375,595000,119,119,115.682
291.7758,957.92,3941.47,-9561.3369140625,600000,120,120,118.7808
310.9718,902.25,3142.55,-12064.71484375,605000,121,121,196.9872
286.9492,2127.36,4527.2,-9402.13671875,610000,122,122,97.8232
300.1579,2164.01,4571.78,-10683.2978515625,615000,123,123,140.5561
294.1114,2251.7,4547.97,-10393.67578125,620000,124,124,105.7528
283.4538,1938.83,4679.15,-9485.654296875,625000,125,125,97.2836
293.9366,2145.54,4097.59,-10907.9873046875,630000,126,126,113.9384
292.4542,3572.84,3667.88,-10733.2607421875,635000,127,127,107.7989
297.7816,1158.58,4406.05,-11771.478515625,640000,128,128,153.7308
284.0334,1544.71,3943.23,-9614.9765625,645000,129,129,88.7842
286.07,2382.02,4630.52,-10438.0185546875,650000,130,130,95.6753
295.3036,1194.06,3637.52,-11937.6328125,655000,131,131,134.446
285.4065,3608.29,4407.89,-10214.5087890625,660000,132,132,89.2529
289.9703,1010.41,4349.62,-11172.6591796875,665000,133,133,101.5204
297.6539,3275.62,4494.51,-11564.21484375,670000,134,134,114.3108
289.1086,2454.35,4062.18,-11582.65234375,675000,135,135,132.5899
297.7993,2546.04,4101.57,-11964.810546875,680000,136,136,114.6603
286.6477,4333.08,3753.43,-10654.38671875,685000,137,137,100.6398
299.224,2608.16,3995.42,-12585.0830078125,690000,138,138,118.258
284.1655,1543.38,4415.91,-11620.05078125,695000,139,139,99.3989
283.4127,2346.74,4885.21,-10754.2880859375,700000,140,140,92.1043
287.0594,1126.4,4775.06,-11817.2470703125,705000,141,141,104.0745
288.6701,1822.71,4390.24,-11548.3623046875,710000,142,142,87.3845
285.9536,1249.51,4902.25,-11940.619140625,715000,143,143,102.434
288.0183,937.67,4261.9,-11929.6826171875,720000,144,144,105.0996
279.9051,3861.76,4583.54,-11477.22265625,725000,145,145,85.3611
285.4829,3270.59,4604.23,-11903.3642578125,730000,146,146,84.0643
312.5013,661.62,2625.35,-13792.46484375,735000,147,147,186.377
296.7517,3143.44,3877.12,-13481.7333984375,740000,148,148,143.5011
288.6265,1798.43,4909.01,-12729.158203125,745000,149,149,117.713
289.3205,4649.2,4006.65,-12599.91015625,750000,150,150,96.48
300.5082,3854.86,3699.38,-13953.9287109375,755000,151,151,143.2831
291.6865,2284.07,4817.49,-12630.69921875,760000,152,152,96.6566
283.2855,4449.45,4665.73,-12575.7197265625,765000,153,153,93.8015
284.0619,890.43,4509.22,-12600.416015625,770000,154,154,101.2523
276.4377,3122.94,3735.02,-13092.1533203125,775000,155,155,83.9825
283.9322,867.92,4030.53,-13228.4443359375,780000,156,156,126.8058
280.0006,3093.57,4893.71,-13036.9228515625,785000,157,157,87.7883
285.7489,2904.9,3858.49,-13306.89453125,790000,158,158,90.3966
280.3664,3901.93,4981.22,-13190.509765625,795000,159,159,91.3905
291.8344,2818.18,4995.89,-13707.9833984375,800000,160,160,101.5398
278.4146,1997.38,4627.79,-13061.6416015625,805000,161,161,85.1159
283.8674,4205.42,4815.26,-13664.037109375,810000,162,162,102.406
278.7214,1732.71,4895.99,-13535.333984375,815000,163,163,84.0351
281.9541,1918.25,4799.53,-14136.396484375,820000,164,164,95.3854
278.8554,3868.2,4822.88,-13116.435546875,825000,165,165,84.9336
293.404,3880.93,3721.11,-14714.00390625,830000,166,166,111.0361
286.0325,5065.95,4645.26,-14085.302734375,835000,167,167,93.3969
281.1145,1260.84,4604.79,-13828.0087890625,840000,168,168,89.3516
283.7126,3916.37,4113.63,-14349.5615234375,845000,169,169,101.884
286.1803,1646.01,3691.17,-14225.95703125,850000,170,170,129.4126
285.4651,3071.19,4532.97,-14048.619140625,855000,171,171,91.5233
288.1605,2777.85,4572.9,-14756.8359375,860000,172,172,101.2391
277.6917,4743.69,4948.25,-14377.7001953125,865000,173,173,95.0359
283.9538,4963.46,4830.29,-14804.7412109375,870000,174,174,100.5252
284.1363,4237.7,4985.33,-14742.818359375,875000,175,175,107.4847
294.4424,4336.12,4544.34,-14651.0615234375,880000,176,176,104.5651
282.796,3779.12,4751.03,-15024.068359375,885000,177,177,87.5174
282.9348,4582.57,4882.87,-15271.662109375,890000,178,178,90.5922
288.9629,1712.34,3714.59,-15472.1337890625,895000,179,179,156.8105
278.3764,2346.03,4984.99,-15155.6025390625,900000,180,180,86.3761
295.0798,3076.77,3277.48,-15592.48828125,905000,181,181,127.5757
286.5687,4262.57,4381.95,-15657.5791015625,910000,182,182,96.671
277.597,2584.83,4994.63,-15547.791015625,915000,183,183,84.2483
279.1357,900.0,4758.04,-15419.359375,920000,184,184,100.8461
280.3253,3553.88,4646.87,-15754.955078125,925000,185,185,84.1168
280.4299,1800.76,4961.8,-15385.9716796875,930000,186,186,87.2355
285.9232,4661.09,4964.56,-15972.9716796875,935000,187,187,95.3398
277.83,4533.76,4876.91,-15763.5087890625,940000,188,188,85.7867
277.5905,4736.35,4698.41,-15848.85546875,945000,189,189,83.151
282.6162,955.69,4742.37,-16318.05078125,950000,190,190,86.8978
279.5388,2727.08,4979.32,-15753.2275390625,955000,191,191,86.0446
282.8991,5090.89,5031.48,-16543.37109375,960000,192,192,96.1077
278.2507,3060.45,4802.6,-15956.6806640625,965000,193,193,86.0453
275.3531,3894.81,4961.99,-16398.0859375,970000,194,194,85.5376
279.8599,1953.52,4360.53,-16316.2900390625,975000,195,195,91.6221
283.5315,1808.16,4846.24,-16346.7255859375,980000,196,196,94.4475
275.0203,2413.83,4493.18,-16085.3173828125,985000,197,197,79.008
277.475,3023.23,4360.51,-15903.4306640625,990000,198,198,92.3664
275.433,4912.64,4728.01,-16188.087890625,995000,199,199,82.8515
286.1833,3593.98,5025.86,-16517.2265625,1000000,200,200,105.7757
286.0838,3367.64,5035.17,-16818.34375,1005000,201,201,95.413
284.6273,1257.28,4836.17,-16581.658203125,1010000,202,202,89.1201
282.8558,2878.01,5015.25,-16415.09765625,1015000,203,203,81.4781
284.7514,4221.15,4570.63,-17065.150390625,1020000,204,204,94.0631
281.8808,1765.95,4672.7,-16435.283203125,1025000,205,205,87.1042
282.538,1416.34,4637.13,-16577.0546875,1030000,206,206,110.0644
303.4353,993.86,2786.05,-16855.388671875,1035000,207,207,181.9853
281.6735,1956.23,4508.04,-16689.41796875,1040000,208,208,109.3817
282.2245,2214.61,4463.23,-16792.8125,1045000,209,209,107.0031
279.8948,4043.01,4841.56,-17110.6953125,1050000,210,210,99.8597
282.4797,2215.77,4644.02,-16832.548828125,1055000,211,211,115.7802
278.15,2206.66,4611.16,-16909.173828125,1060000,212,212,82.0134
289.4176,1235.58,4128.33,-16940.025390625,1065000,213,213,141.4646
281.4705,3389.55,4522.3,-17053.611328125,1070000,214,214,116.8791
279.5183,2069.52,3825.31,-16953.92578125,1075000,215,215,99.1819
286.3566,2356.07,4588.91,-17295.37890625,1080000,216,216,133.8769
283.8431,3437.62,3645.01,-16834.0703125,1085000,217,217,117.0038
277.9329,2550.08,4797.83,-16983.37109375,1090000,218,218,94.3182
289.3231,1667.11,2799.56,-17059.298828125,1095000,219,219,165.6819
299.3061,2206.54,3295.31,-16764.5,1100000,220,220,182.66
289.4475,1939.78,2997.47,-17362.015625,1105000,221,221,129.6475
280.8165,1640.94,3600.39,-17304.060546875,1110000,222,222,105.931
293.4224,1679.45,3087.6,-17470.169921875,1115000,223,223,123.6978
284.6353,3199.5,4017.87,-17840.0234375,1120000,224,224,93.6166
287.6198,3861.32,4947.17,-18029.201171875,1125000,225,225,93.7702
289.8364,3806.33,4232.8,-17682.0,1130000,226,226,121.9518
291.2346,4860.2,4629.17,-17762.234375,1135000,227,227,118.1654
284.6826,2789.18,4602.88,-18084.041015625,1140000,228,228,90.6679
299.9835,1776.51,4378.24,-17828.1171875,1145000,229,229,148.3876
283.3963,4492.35,5033.34,-18113.62890625,1150000,230,230,92.6116
287.154,4717.24,4742.13,-18077.1796875,1155000,231,231,98.858
296.9946,2686.36,3435.82,-18096.4765625,1160000,232,232,118.0674
296.6869,4192.86,4960.14,-18170.177734375,1165000,233,233,133.454
320.0313,4374.67,4208.77,-18118.412109375,1170000,234,234,164.8764
307.738,4116.74,4157.36,-18874.08984375,1175000,235,235,124.8014
344.3862,2754.49,2464.06,-17793.796875,1180000,236,236,205.9179
302.3142,4401.01,4021.13,-17986.35546875,1185000,237,237,124.5706
334.9181,1272.35,1750.39,-16803.421875,1190000,238,238,196.8106
379.2561,494.62,1563.35,-15739.92578125,1195000,239,239,272.0662
360.4248,1063.1,1323.54,-16918.48828125,1200000,240,240,219.7545
340.3428,900.29,1481.9,-16572.49609375,1205000,241,241,215.011
393.7659,383.24,438.35,-16729.78125,1210000,242,242,302.0247
350.8102,794.17,1316.48,-16934.802734375,1215000,243,243,245.6062
286.0889,1928.84,4458.04,-17690.24609375,1220000,244,244,118.2279
286.0151,1561.52,4685.64,-17773.990234375,1225000,245,245,107.986
294.7356,2702.02,3785.6,-17502.30859375,1230000,246,246,106.7097
285.5719,3771.83,4719.57,-17930.8125,1235000,247,247,94.4684
291.8056,2847.58,3732.09,-17473.986328125,1240000,248,248,117.6245
299.7302,1814.53,3362.98,-17470.615234375,1245000,249,249,141.6811
290.1613,3964.76,4263.32,-18124.328125,1250000,250,250,112.0847
288.3276,2781.07,3088.29,-18008.55078125,1255000,251,251,124.7002
287.5539,3531.4,3745.81,-18219.353515625,1260000,252,252,99.3788
284.8184,824.59,4164.1,-17911.453125,1265000,253,253,114.6022
304.7109,1680.05,3270.4,-18279.462890625,1270000,254,254,197.3942
326.2634,2672.76,2343.95,-17666.38671875,1275000,255,255,232.8412
308.663,2032.1,2817.76,-17211.919921875,1280000,256,256,195.2457
295.186,1403.94,2689.47,-18140.046875,1285000,257,257,182.5921
304.6587,753.7,1711.58,-18121.48046875,1290000,258,258,227.1699
306.6676,954.45,3961.18,-18617.4921875,1295000,259,259,228.2234
286.3604,2492.83,5016.59,-18490.189453125,1300000,260,260,128.9654
288.9882,2407.66,4462.26,-18506.951171875,1305000,261,261,141.2988
286.5852,2355.15,4265.44,-18444.357421875,1310000,262,262,111.8436
296.5714,1701.64,4542.64,-18445.271484375,1315000,263,263,183.994
291.7397,2198.05,3538.67,-18609.66796875,1320000,264,264,145.1187
